Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Cupule_width_mm,Cupule_width_mm,Cupule_width_mm,Mean_Cupule_Width(mm),Cupule_height_mm,Cupule_height_mm,Cupule_height_mm,Mean_cupule_height(mm),Cupule_depth_mm,Cupule_depth_mm,Cupule_depth_mm,Mean_cupule_depth,Kernels_per_row,Kernels_per_row,Kernels_per_row,Mean_kernel_row,Total_Wt_g,Small_Bag_Wt_g,Large_Bag_Wt_g
M10-11-Cemetery,,M10=8086.05,Round,30.08,14.88,8,5,4,4.5,4.5,3,1,2.5,2.2,1,0.5,1,0.8,10,10,8,9,1.21,0.31,0.9
M10-11-Cemetery,,M10=8086.06,Rectangle,38.53,17.09,9,5,3,3,3.7,2.5,3,4,3.2,0.5,2,0.5,1.0,10,10,10,10,1.74,0.66,1.12
M10-11-Cemetery,,M10=8086.07,Round,43.23,15.2,6,5,7,5,5.7,3,4,6,4.3,2,1,1,1.3,8,11,10,10,2.7,0.38,2.3
M10-11-Cemetery,,M10=8086.08,Oval,35.18,15.38,7,7,3,4,4.7,4,3,3.5,3.5,1,1,1,1.0,8,7,9,8,1.28,0.51,0.75
M10-11-Cemetery,,M10=8086.09,Round,43.26,11.03,5,6,5,5,5.3,4,3,3,3.3,3,2,2,2.3,9,10,9,9,0.76,0.24,0.51
M10-11-Cemetery,,M10=8086.10,Rectangle,23.47,10.18,4,4,5,7,5.3,2.5,2,2.5,2.3,0,1,0,0.3,8,8,8,8,0.29,0.1,0.19
M10-11-Cemetery,,M10=8086.11,Round,45.09,5.52,6,2,3,2,2.3,2,2,2,2.0,0.5,1,1,0.8,22,23,20,22,0.35,0.14,0.2
M10-11-Cemetery,,M10=8086.12,Oval,18.67,10.11,4,4,4,4,4.0,3,3,2.5,2.8,0.5,1,0.5,0.7,6,5,6,6,0.22,0.12,0.12
M10-11-Cemetery,,M10=8086.13,Square,19.59,8.87,5,4,5,4,4.3,2.5,3,2.5,2.7,1,2.5,1,1.5,5,5,5,5,0.16,0.09,0.07
M10-11-Cemetery,,M10=8086.14,Round,20.4,10.07,8,3,3,3,3.0,2,2.5,3,2.5,2.5,2.5,1.5,2.2,7,6,6,6,0.31,0.13,0.19
M10-11-Cemetery,,M10=8086.15,Rectangle,23.03,9.56,7,2,2.5,3,2.5,2,2.5,3,2.5,1.5,0.5,1,1.0,7,6,7,7,0.18,0.09,0.06
M10-11-Cemetery,,M10=8086.16,Round,15.23,8.75,5,3,3,3,3.0,2,2,1,1.7,1,0.5,0.5,0.7,8,7,4,6,0.16,0.05,0.12
M10-11-Cemetery,PICFM-49/22-OMO16,M10=8610.01,Oval,71.81,16.9,9,4,4,6,4.7,4,4,4,4.0,2,2,2,2.0,21,20,17,19,2.25,0.94,1.28
M10-11-Cemetery,,M10=8610.02,Round,58.69,11.19,6,4,5,5,4.7,2,3,2,2.3,0.5,2,1,1.2,19,20,19,19,0.97,0.44,0.53
M10-11-Cemetery,,M10=8610.03,Oval,31.09,13.88,7,5,5,5,5.0,4,4,3,3.7,0.5,0.5,0.5,0.5,9,8,9,9,0.88,0.28,0.57
M10-11-Cemetery,,M10=8610.04,Square,30.42,5.69,6,3,4,3,3.3,4,3,3,3.3,0.5,0.5,1,0.7,8,8,7,8,0.31,0.17,0.14
M10-11-Cemetery,,M10=8610.05,Triangle,23.49,9.43,6,3.5,3,3,3.2,2,2,3,2.3,1,1,2,1.3,7,8,7,7,0.21,0.07,0.13
M10-11-Cemetery,,M10=8610.06,Round,27.71,6.71,6,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,10,11,9,10,0.23,0.11,0.13
M10-11-Cemetery,,M10=8610.07,Round,20.53,9.83,7,3,3,3,3.0,4,3,2.5,3.2,0.5,1,3,1.5,4,5,5,5,0.22,0.11,0.12
M10-11-Templete,PICFM-49/22-OMO17,M10=6981.01,Square,91.34,14.53,8,4,7,7,6.0,2,3,3,2.666666667,1,2,2,1.666666667,28,25,24,26,2.62,0.57,2
M10-11-Templete,,M10=6981.02,Round,45.35,17.2,7,4,6,9,6.3,2,4,5,3.666666667,5,5,7,5.666666667,11,10,11,11,1.47,0.6,0.84
M10-11-Templete,,M10=6981.03,Round,51.58,13.24,9,3,5,5,4.3,3,3,3,3,0,0.5,2,0.833333333,15,13,13,14,2.04,0.27,1.77
M10-11-Templete,,M10=6981.04,Round,47.25,11.85,9,5,6,3,4.7,2,3,2,2.333333333,2,3,2,2.333333333,13,6,12,10,1.06,0.19,0.85
M10-11-Templete,,M10=6981.05,Oval,44.01,12.11,7,4.5,5,5,4.8,2,3,2,2.333333333,3,3,3,3,11,11,11,11,0.82,0.24,0.56
M10-11-Templete,,M10=6981.06,Round,25.46,12.37,6,5,5,5,5.0,3,2,2,2.333333333,2,2,1,1.666666667,6,5,6,6,0.45,0.17,0.27
M10-11-Templete,,M10=6981.07,Round,24.52,12.8,7,3,5,5,4.3,4,4,4,4,1,1,1,1,6,7,7,7,0.97,0.31,0.67
M10-11-Templete,,M10=6981.08,Oval,27.6,9.52,4,5,3,2,3.3,2,3,1,2,1,3,1,1.666666667,10,7,12,10,0.21,0.1,0.1
M10-11-Templete,,M10=6981.09,Round,19.23,8,9,1.5,2,2.5,2.0,1.5,2,2.5,2,1,2,2,1.7,6,5,4,5,0.08,0.05,0.04
M10-11-Templete,PICFM-49/22-OMO18,M10=12478.01,Oval,114,13.14,7,6.5,6.5,6.5,6.5,2.5,3,3,2.833333333,2,3,2,2.3,31,32,30,31,2.75,0.23,2.5
M10-11-Templete,,M10=12478.02,Oval,80.67,12.44,9,3,3,3,3.0,2.5,2,2,2.166666667,2,3,3,2.7,20,18,21,20,3.14,0.74,2.35
M10-11-Templete,,M10=12478.03,Round,53.14,12.9,10,3,7,5,5.0,2,2,2,2,2,2,1,1.7,18,18,19,18,2.09,0.24,1.85
M10-11-Templete,,M10=12478.04,Oval,51.63,12.16,7,5,5,5,5.0,1,2.5,2.5,2,1,1,1,1.0,16,18,15,16,0.79,0.3,0.48
M10-11-Templete,,M10=12478.05,Oval,47.27,9.08,7,2,2.5,3,2.5,2,2,2.5,2.166666667,0,0.5,2,0.8,23,22,21,22,0.38,0.1,0.3
M10-11-Templete,,M10=12478.06,Oval,44.03,12.51,9,3,5,6,4.7,2.5,3,3,2.833333333,2,2,2,2.0,21,17,18,19,1.12,0.14,0.95
M10-11-Templete,,M10=12478.07,Round,47.11,7.79,5,3,3,3,3.0,1.5,2,2,1.833333333,0.25,1,2,1.1,19,19,18,19,0.34,0.1,0.23
M10-11-Templete,,M10=12478.08,Rectangle,42.25,11.49,8,4,4,4,4.0,2,2,2,2,1,0,0,0.3,5,4,5,5,1.75,0.35,1.41
M10-11-Templete,,M10=12478.09,Round,29.41,8.05,8,3,3,3,3.0,2,2,1.5,1.833333333,0,0,0.25,0.1,11,11,9,10,0.63,0.23,0.36
M10-11-Templete,,M10=12478.10,Round,26.45,10.42,7,5,5,5,5.0,2,2.5,2.5,2.333333333,1,1,2,1.3,10,11,13,11,0.34,0.11,0.25
M10-11-Templete,,M10=12478.11,Round,21.5,8.92,7,5,4,4,4.3,3,2.5,2,2.5,2,2,1,1.7,33,33,35,34,0.2,0.1,0.09
M10-11-Templete,,M10=12478.12,Rectangle,32.22,12.35,6,4,4,4,4.0,2.5,2,2.5,2.333333333,0.5,1,1,0.8,10,9,8,9,0.4,0.14,0.27
M10-11-Templete,,M10=12478.13,Oval,37.5,16.46,6,6,6,7,6.3,4,4,4,4,3,2,2,2.3,9,9,9,9,1.31,0.35,0.93
M10-11-Templete,,M10=12478.14,Round,24.68,11.63,8,4,4,4,4.0,3,2,2,2.333333333,1,1,1,1.0,6,8,5,6,0.35,0.13,0.2
M10-11-Templete,,M10=12478.15,Round,49.05,20.06,9,5,5,7,5.7,4,4,5,4.333333333,2,2,3,2.3,11,13,13,12,3.96,1.3,2.42
M10-11-Templete,,M10=12478.16,Round,44.17,17.18,8,6,6,6,6.0,3,3,3,3,2,1,1,1.3,12,10,10,11,2.84,0.67,2.07
M10-11-Templete,,M10=12478.17,Round,50.07,12.32,7,6,7,7,6.7,3,4,3,3.333333333,2,3,3,2.7,13,13,11,12,1.53,0.3,1.2
M10-11-Templete,,M10=12478.18,Round,40.83,13.03,6,7,5,6,6.0,5,4,3,4,4,3,3,3.3,9,9,9,9,0.87,0.19,0.68
M10-11-Templete,,M10=12478.19,Rectangle,30.78,10.04,7,3,4,4,3.7,1.5,2.5,3,2.333333333,0.25,1,0.25,0.5,10,9,10,10,0.26,0.1,0.11
M10-11-Templete,,M10=12478.20,Round,14.38,8.51,7,2.5,3,3,2.8,2,2,2.5,2.166666667,1,1,1,1.0,11,9,9,10,0.47,0.15,0.34
M10-11-Templete,,M10=12478.21,Oval,22.94,5.34,6,1.5,2,1.5,1.7,3,3,2,2.666666667,0.25,1,1,0.8,5,6,5,5,0.12,0.06,0.05
M10-11-Templete,PICFM-49/22-OMO19,M10=12744.01,Round,89.72,13.51,7,6,7,5,6.0,3,3,2,2.666666667,3,2,2,2.3,26,25,25,25,3.59,0.62,2.93
M10-11-Templete,,M10=12744.02,Round,78.16,17.07,7,6,8,8,7.3,2,4,5,3.666666667,1,2,2,1.7,23,22,21,22,4.75,1.15,3.51
M10-11-Templete,,M10=12744.03,Oval,71.9,12.93,7,4,4,4,4.0,2.5,3,3,2.833333333,1,1,2,1.3,21,17,18,19,1.34,0.18,1.14
M10-11-Templete,,M10=12744.04,Round,63.58,16.75,9,6,7,7,6.7,2.5,4.5,4,3.666666667,2,2,2,2.0,19,19,18,19,2.16,0.39,1.76
M10-11-Templete,,M10=12744.05,Round,23.21,8.67,6,3,4,4,3.7,3,4,2.5,3.166666667,1,1,1,1.0,5,4,5,5,0.19,0.1,0.09
M10-11-Templete,PICFM-49/22-OMO20,M10=13038.01,Oval,13.98,11.93,6,3,2,2,2.3,2.5,2,2.5,2.333333333,0,0.5,0.5,0.3,8,8,8,8,0.52,0.22,0.3
M10-11-Templete,,M10=13038.02,Oval,21.33,10.55,8,3,3,3,3.0,2,1,1.5,1.5,0,1,0.5,0.5,10,11,13,11,0.46,0.15,0.28
M10-11-Templete,PICFM-49/22-OMO21,M10=13586.01,Round,93.22,11.51,7,4,3,2.5,3.2,2.5,2,2.5,2.333333333,2,3,1,2.0,32,33,35,33,2.34,0.41,1.91
M10-11-Templete,,M10=13586.02,Round,80.1,16.2,8,5,4,4,4.3,3,2,3,2.666666667,2,2,2,2.0,24,23,20,22,3,0.54,2.4
M10-11-Templete,,M10=13586.03,Oval,72.56,17.94,8,5,5,7,5.7,3,3,3,3,2,1,2,1.7,20,18,18,19,4.18,0.76,3.4
M10-11-Templete,,M10=13586.04,Oval,77.8,13.65,7,3,5,4,4.0,6,3,2,3.666666667,2,2,1,1.7,20,19,20,20,1.73,0.68,1.04
M10-11-Templete,,M10=13586.05,Oval,58,9.44,6,5,5,4,4.7,2.5,2.5,1.5,2.166666667,1,1,0.25,0.8,17,14,19,17,0.56,0.23,0.31
M10-11-Templete,,M10=13586.06,Oval,48.23,9.4,8,2,2.5,3,2.5,4,2.5,2.5,3,1,0.5,1,0.8,13,12,12,12,0.47,0.2,0.27
M10-11-Templete,,M10=13586.07,Round,53.22,13.26,7,4,5,5,4.7,3.5,4,4,3.833333333,1,3,2,2.0,13,15,14,14,1.49,0.46,1
M10-11-Templete,,M10=13586.08,Round,45.48,15.56,8,5,6.5,5,5.5,2,3,3.5,2.833333333,0.5,2,2,1.5,13,15,10,13,1.77,0.46,1.29
M10-11-Templete,,M10=13586.09,Round,35.63,10.04,7,3.5,3.5,3,3.3,2.5,1.5,3,2.333333333,0,1,3,1.3,9,10,10,10,0.78,0.21,0.59
M10-11-Templete,,M10=13586.10,Round,39.81,13.32,6,3,3,4,3.3,4.5,2.5,3,3.333333333,3,2,2,2.3,11,11,10,11,1,0.27,0.74
M10-11-Templete,,M10=13586.11,Round,42,19.87,9,5,4,6,5.0,4,4,4,4,5,3,3,3.7,11,11,10,11,2.08,0.42,1.65
M10-11-Templete,,M10=13586.12,Oval,31.65,9.81,8,3,3,3.5,3.2,2,2,2,2,1,2,2,1.7,9,9,8,9,0.27,0.11,0.16
M1-95-Chen-Chen,PICFM-49/22-CHEN4,M1=122103.01,Round,29.89,18.42,8,3,3,3,3.0,3,2.5,3,2.833333333,1,1,0.5,0.833333333,7,11,8,9,1.35,1.21,0.13
M1-95-Chen-Chen,PICFM-49/22-CHEN5,M1=122152.01,Oval,86.63,17.54,10,5,5,5,5.0,3,3,5,3.666666667,3,2,3,2.666666667,21,20,21,21,1.76,0.2,1.53
M1-95-Chen-Chen,,M1=122152.02,Round,87.75,21.47,12,5,4,4,4.3,3,3,3,3,2,3,3,2.666666667,24,29,25,26,3.09,0.66,2.43
M1-95-Chen-Chen,,M1=122152.03,Oval,29.91,16.73,12,5,5,5,5.0,5,5,3,4.333333333,1,1,2,1.333333333,10,9,8,9,0.56,0.14,0.41
M1-95-Chen-Chen,,M1=122152.04,Oval,27.05,9.74,6,3,3,3,3.0,2,2,2,2,1,1,1,1.0,11,11,12,11,0.19,0.09,0.09
M1-95-Chen-Chen,,M1=122152.05,Round,58.4,12.88,8,3,4,5,4.0,2,2,2,2,1,1,1,1.0,19,22,20,20,1.05,0.15,0.87
M1-95-Chen-Chen,,M1=122152.06,Oval,43.33,15.46,10,3,3,3,3.0,4,4,2,3.333333333,2,2,2,2.0,9,10,11,10,0.41,0.11,0.31
M1-95-Chen-Chen,,M1=122152.07,Oval,60.63,17.72,10,5,5,5,5.0,3,3,3,3,2,2,2,2.0,19,16,17,17,1.46,0.15,1.31
M1-95-Chen-Chen,,M1=122152.08,Oval,47.28,15.83,8,5,4,5,4.7,2,2,2,2,2,1,2,1.7,10,14,10,11,0.68,0.12,0.55
M1-95-Chen-Chen,,M1=122152.09,Oval,48.4,9.95,8,3,3,3,3.0,3,3,3,3,1,1,1,1.0,15,14,13,14,0.61,0.16,0.46
M1-95-Chen-Chen,PICFM-49/22-CHEN6,M1=123087.01,Round,54.6,10.89,6,3,3,3,3.0,3,3,3,3,0.5,1,1,0.8,17,18,17,17,1.14,0.31,0.79
M1-95-Chen-Chen,,M1=123087.02,Oval,64.96,15.88,10,3,3,3,3.0,2,3,2,2.333333333,0.5,0.5,0.5,0.5,26,25,25,25,1.93,0.43,1.48
M1-95-Chen-Chen,,M1=123087.03,Round,52.88,9.44,6,3,3,2,2.7,3,3,2,2.666666667,0.5,0.5,0.5,0.5,16,15,17,16,0.89,0.33,0.54
M1-95-Chen-Chen,,M1=123087.04,Oval,53.24,17.5,8,3,3,3,3.0,3,2,3,2.666666667,1,1,1,1.0,18,16,19,18,1.56,0.3,1.25
M1-95-Chen-Chen,,M1=123087.05,Round,44.19,10.23,8,2,3,3,2.7,1,1,1,1,0.5,0.5,0.5,0.5,12,13,13,13,0.7,6.17,6.52
M1-95-Chen-Chen,,M1=123087.06,Round,30.63,8.23,6,2,2.5,2.5,2.3,2,2,2,2,0.250,0.5,0.5,0.4,12,9,9,10,0.27,0.07,0.17
M1-95-Chen-Chen,,M1=123087.07,Oval,65.54,12.22,8,2,3,2,2.3,1,3,1,1.666666667,0.5,1,0.5,0.7,23,26,24,24,1.08,0.28,0.79
M1-95-Chen-Chen,,M1=123087.08,Oval,31.1,14.68,10,3,3,3,3.0,1,2,1,1.333333333,2,1,1,1.3,13,12,12,12,0.83,0.32,0.49
M1-95-Chen-Chen,,M1=123087.09,Oval,31.03,12.87,8,2,3,3,2.7,2,1,1,1.333333333,1,0.5,1,0.8,9,11,11,10,0.44,0.21,0.25
M1-95-Chen-Chen,,M1=123087.10,Oval,64.29,18.26,9,3,4,5,4.0,2,3,5,3.333333333,0.5,1,1,0.8,22,18,22,21,1.91,0.25,1.61
M1-95-Chen-Chen,,M1=123087.11,Oval,40.97,14.57,8,4.5,4.5,4.5,4.5,3,3,2,2.666666667,1,1,1,1.0,12,12,12,12,0.94,0.25,0.7
M1-95-Chen-Chen,PICFM-49/22-CHEN7,M1=124039.01,Oval,102.08,23.66,10,5,5,5,5.0,2,3,3,2.666666667,1,1,0.5,0.8,28,26,26,27,11.71,0.44,11.05
M1-95-Chen-Chen,,M1=124039.02,Round,93.96,22.59,8,6,5,8,6.3,5,4.5,5,4.833333333,2,2,3,2.3,23,21,23,22,8.3,0.85,7.88
M1-95-Chen-Chen,,M1=124039.03,Oval,42.83,14.61,4,5,5,5,5.0,3,3,3,3,0.5,1,1,0.8,11,11,11,11,1.31,0.26,1
M1-95-Chen-Chen,,M1=124039.04,Round,33.03,16.21,6,4.5,4.5,4.5,4.5,2,2,1,1.666666667,1,1,1,1.0,8,6,7,7,0.73,0.16,0.57
M1-95-Chen-Chen,,M1=124039.05,Round,38.64,12.54,6,5,5,5,5.0,3,4.5,4.5,4,0,0.5,0.5,0.3,14,12,14,13,1.77,0.13,1.63
M1-95-Chen-Chen,,M1=124039.06,Oval,58.53,16,6,8,7,8,7.7,5,5,5,5,2,2,3,2.3,11,12,13,12,3.18,0.15,3
M1-95-Chen-Chen,,M1=124039.07,Oval,54.96,18.95,8,5,5,5,5.0,2,2,2,2,1,1,0.5,0.8,19,20,13,17,2.53,0.19,2.33
M1-95-Chen-Chen,,M1=124039.08,Oval,18.53,15.38,6,7,5,8,6.7,4,5,4,4.333333333,0.5,0.5,0.5,0.5,4,5,9,6,0.78,0.13,0.65
M1-95-Chen-Chen,,M1=124039.09,Round,29.25,10.99,7,3,4,4,3.7,2,3,3,2.666666667,0,1,1,0.7,10,10,9,10,0.5,0.1,0.39
M1-95-Chen-Chen,,M1=124039.10,Round,33.43,14.51,7,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,0.5,0.5,0.7,9,9,7,8,1.86,0.1,1.7
M1-95-Chen-Chen,,M1=124039.11,Oval,25.93,9.89,6,5,4.5,3,4.2,3,3,2,2.666666667,1,1,0.5,0.8,7,6,6,6,0.43,0.13,0.28
M1-95-Chen-Chen,,M1=124039.12,Oval,31.43,9.13,6,5,5,3,4.3,4.5,3,1.5,3,1,1,1,1.0,7,8,8,8,0.94,0.1,0.79
M1-95-Chen-Chen,,M1=124039.13,Oval,26.15,11.3,5,3,4,3,3.3,2,2.5,2,2.166666667,0.25,0.25,1,0.5,9,6,9,8,0.19,0.09,0.08
M1-95-Chen-Chen,,M1=124039.14,Oval,21.37,7.96,6,2.5,2.5,3,2.7,2,2,2,2,0.25,0.25,0.25,0.3,8,8,8,8,0.15,0.07,0.1
M1-95-Chen-Chen,,M1=124039.15,Oval,20.29,8.08,6,3,3,2,2.7,3,3,1,2.333333333,0,1,1,0.7,8,9,8,8,0.15,0.06,0.08
M1-95-Chen-Chen,,M1=124039.16,Round,27.74,8.56,6,3,3,3,3.0,2.5,2.5,2.5,2.5,0.25,0.25,1,0.5,8,8,8,8,0.23,0.07,0.15
M1-95-Chen-Chen,,M1=124039.17,Round,28.14,11.37,5,4.5,5,5,4.8,4.5,7,5,5.5,0,2,2,1.3,6,5,5,5,0.51,0.14,0.4
M1-95-Chen-Chen,,M1=124039.18,Round,34.3,12.3,6,4,4,4.5,4.2,2.5,5.5,4.5,4.166666667,2,3,2,2.3,6,5,6,6,0.71,0.23,0.47
M1-95-Chen-Chen,,M1=124039.19,Oval,35.43,19.06,11,3,2,3,2.7,1,2.5,1,1.5,1,2,1,1.3,15,12,12,13,2.32,0.22,2.07
M1-95-Chen-Chen,PICFM-49/22-CHEN8,M1=124067.01,Oval,79.28,16.75,10,3,3,4.5,3.5,2,3,2,2.333333333,1,1,1,1.0,26,24,27,26,2.43,0.37,2.05
M1-95-Chen-Chen,,M1=124067.02,Oval,90.24,12.15,6,3,3,4,3.3,3,2,3,2.666666667,1,1,1,1.0,27,26,25,26,2.05,0.71,1.35
M1-95-Chen-Chen,,M1=124067.03,Oval,46.72,12.32,7,3,4,3,3.3,1,1,2,1.333333333,1,0.5,0.5,0.7,15,18,19,17,0.72,0.22,0.49
M1-95-Chen-Chen,,M1=124067.04,Oval,51.77,15.11,8,3,3,3,3.0,3,3,3,3,1,0.5,0,0.5,14,18,16,16,1.42,0.44,0.99
M1-95-Chen-Chen,,M1=124067.05,Round,30.17,7.99,5,3,2.5,4,3.2,2,2.5,3,2.5,1,1,1,1.0,7,7,6,7,0.28,0.1,0.16
M1-95-Chen-Chen,,M1=124067.06,Oval,45.11,9.84,6,3,3,3,3.0,2,2,2,2,1,0.25,0.250,0.5,15,16,16,16,0.56,0.2,0.36
M1-95-Chen-Chen,,M1=124067.07,Oval,31.73,13.95,8,5,4,4,4.3,5,2,3,3.333333333,2,2,0.5,1.5,8,7,7,7,0.55,0.17,0.36
M1-95-Chen-Chen,,M1=124067.08,Round,67.64,18.65,8,3,6,4,4.3,2,4,5,3.666666667,1,1,1,1.0,18,18,17,18,5.34,0.96,4.27
M1-95-Chen-Chen,,M1=124067.09,Round,30.43,7.7,6,3,3,4,3.3,4,3,4,3.666666667,2,2,2,2.0,6,6,6,6,0.15,0.08,0.09
M1-95-Chen-Chen,,M1=124067.10,Oval,21.94,7.59,9,6,5,5,5.3,3,2,3,2.666666667,3,1,1,1.7,10,8,9,9,2.41,0.62,1.36
M1-95-Chen-Chen,,M1=124067.11,Triangle,15.22,11.08,8,3,4,6,4.3,2,3,3,2.666666667,0,1,1,0.7,8,7,7,7,0.53,0.16,0.37
M1-95-Chen-Chen,,M1=124067.12,Oval,35.12,15.5,8,3,3,3,3.0,2,1.5,1.5,1.666666667,0.5,0.5,0.5,0.5,11,12,11,11,0.83,0.33,0.48
M1-95-Chen-Chen,,M1=124067.13,Oval,46.63,20.45,8,5,5,5,5.0,3,3,3,3,1,2,1,1.3,11,14,12,12,1.46,0.28,1.19
M1-95-Chen-Chen,,M1=124067.14,Round,25.53,10.17,4,2,3,3,2.7,2,2,2,2,1,1,1,1.0,8,7,8,8,0.22,0.09,0.14
M1-95-Chen-Chen,,M1=124067.15,Round,38.48,8.48,7,3,5,2,3.3,2,2,2,2,0.5,1,1,0.8,12,13,12,12,0.39,0.14,0.23
M1-95-Chen-Chen,,M1=124067.16,Round,58.18,12.08,6,4,4.5,4,4.2,3,2,2,2.333333333,0.5,1,0.5,0.7,15,16,18,16,1,1.27,0.75
M1-95-Chen-Chen,,M1=124067.17,Round,65.93,8.93,6,4,3,5,4.0,3,3,4,3.333333333,1,1,2,1.3,15,14,15,15,1.17,0.4,0.78
M1-95-Chen-Chen,,M1=124067.18,Oval,55.59,18.37,9,5,4,4.5,4.5,2,2,2,2,1,1,1,1.0,15,16,15,15,1.7,0.75,0.92
M1-95-Chen-Chen,,M1=124067.19,Oval,46.94,14.98,6,4,3,3,3.3,2,2,3,2.333333333,0.5,0.5,3,1.3,18,13,15,15,1.44,0.47,0.97
M1-95-Chen-Chen,,M1=124067.20,Round,36.35,12.4,8,4,4,3,3.7,1,2,2,1.666666667,1,1,1,1.0,14,13,13,13,0.6,0.2,0.39
M1-95-Chen-Chen,,M1=124067.21,Oval,53.55,14.32,8,4,5,5,4.7,2.5,3,3,2.833333333,1,1,2,1.3,13,14,14,14,1.2,0.47,0.7
M1-95-Chen-Chen,,M1=124067.22,Oval,29.93,12.47,9,4,4,4,4.0,2,2,1.5,1.833333333,1,1,0.5,0.8,12,10,12,11,0.57,0.18,0.39
M1-95-Chen-Chen,,M1=124067.23,Oval,53.29,12.39,6,3,4,4,3.7,1,2,2,1.666666667,1,1,2,1.3,16,17,16,16,0.71,0.34,0.38
M1-95-Chen-Chen,PICFM-49/22-CHEN9,M1=12463.01,Oval,77.59,18.11,11,4,5,5,4.7,3,3,2,2.666666667,1,1,1,1.0,24,21,20,22,3.13,0.81,2.29
M1-95-Chen-Chen,,M1=12463.02,Rectangle,75.2,20.39,8,6,6,6,6.0,3,4,3,3.333333333,2,2,3,2.3,22,19,20,20,3.12,0.72,2.34
M1-95-Chen-Chen,,M1=12463.03,Oval,57.79,14.6,8,3,3.5,4,3.5,2.5,2.5,4,3,2,2,2,2.0,15,13,12,13,1.05,0.3,0.73
M1-95-Chen-Chen,,M1=12463.04,Oval,41.87,15.27,6,4.5,5,5,4.8,2,2,3,2.333333333,0,1,2,1.0,13,15,14,14,1.78,0.53,1.23
M1-95-Chen-Chen,,M1=12463.05,Round,34,10.35,4,4,6,5,5.0,2,2,2,2,0,1,1,0.7,11,13,10,11,0.64,0.18,0.45
M1-95-Chen-Chen,,M1=12463.06,Oval,29.97,9.36,6,3,4,4,3.7,3,3,3,3,0.5,1,1,0.8,8,10,8,9,0.25,0.11,0.15
M1-95-Chen-Chen,,M1=12463.07,Oval,49.64,12.16,5,3,5,5,4.3,2,3.5,2.5,2.666666667,1,2,2,1.7,13,14,12,13,0.78,0.19,0.59
M1-95-Chen-Chen,,M1=12463.08,Rectangle,38.74,15.24,9,3,3,4,3.3,3,2,2,2.333333333,2,2,2,2.0,16,14,15,15,0.96,0.25,0.72
M1-95-Chen-Chen,,M1=12463.09,Oval,35.65,14.86,9,3,4,4,3.7,2,2,2,2,0,0.5,0.5,0.3,9,10,9,9,0.9,0.14,0.75
M1-95-Chen-Chen,,M1=12463.10,Oval,27.38,8.64,7,3,4,3,3.3,2,1,2,1.666666667,1,2,1,1.3,10,8,9,9,0.17,0.08,0.08
M1-95-Chen-Chen,,M1=12463.11,Rectangle,37.75,8.51,7,2.5,4,4,3.5,2,2,3,2.333333333,1,1,1,1.0,12,13,13,13,0.32,0.12,0.18
